,file_path,sentence,section,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
4,C:\Users\shiwa\pastoral_74\PMC10018940\sections\1_front\1_article-meta\13_abstract.xml,"Herein, we sequenced the entire mitochondrial DNA control region of 120 animals from Hamary and Kabashi and their crossbreed (Hamary x Kabashi) of Sudan desert sheep (SDS) to understand their maternal-inherited genetic variation and demographic history profiles and relate those to the history of sheep pastoralism on the African continent.",ABS,SDS,ORG,167,170,,,,
5,C:\Users\shiwa\pastoral_74\PMC10018940\sections\1_front\1_article-meta\13_abstract.xml,"The results show a diversified and predominant  D - loop haplogroup B (n = 102, 85%), with all other sequences belonging to haplogroup A.",ABS,A.,ORG,135,137,,,,
9,C:\Users\shiwa\pastoral_74\PMC10018940\sections\1_front\1_article-meta\13_abstract.xml,Comparison of the two haplogroup showed that haplogroup B experienced an earlier expansion than haplogroup A.,ABS,A.,ORG,107,109,,,,
11,C:\Users\shiwa\pastoral_74\PMC10018940\sections\1_front\1_article-meta\13_abstract.xml,The maternal ancestors of SDS may have diverged before their introduction to the African continent.,ABS,SDS,ORG,26,29,,,,
27,C:\Users\shiwa\pastoral_74\PMC10118306\sections\1_front\1_article-meta\18_abstract.xml,"This includes gene flow between different click-speaking Khoe-San populations, the stepwise spread of pastoralism from eastern to southern Africa, multiple migrations of Bantu speakers across the continent, as well as admixture from the Middle East and Europe into the Sahel region and North Africa.",ABS,Khoe-San,ORG,57,65,,,,
50,C:\Users\shiwa\pastoral_74\PMC10557253\sections\1_front\1_article-meta\14_abstract.xml,Background Domestication and introduction of dairy animals facilitated the permanent human occupation of the Tibetan Plateau.,ABS,Background Domestication,ORG,0,24,,,,
59,C:\Users\shiwa\pastoral_74\PMC10882051\sections\1_front\1_article-meta\14_abstract.xml,The Neolithic communities of Eastern Sudan combined intensive pastoralism with plant exploitation as their main subsistence strategies.,ABS,Eastern Sudan,ORG,29,42,,,,
61,C:\Users\shiwa\pastoral_74\PMC10882051\sections\1_front\1_article-meta\14_abstract.xml,"This contribution presents direct data on plant consumption in Eastern Sudan from the Early to Late Neolithic, obtained through the analysis of microdebris inclusions in the dental calculus of 37 individuals, integrated by dentoalveolar pathology analysis of 78 individuals, from the sites UA53 (4th millennium BCE) and Mahal Teglinos (3rd–2nd millennium BCE), located in the Gash Delta/Kassala region.",ABS,"BCE, BCE","ORG, ORG","311, 355","314, 358",,,,
67,C:\Users\shiwa\pastoral_74\PMC10967291\sections\1_front\1_article-meta\20_abstract.xml,"The results revealed three main sheep production systems: the agro-pastoral rain-fed system (AGPRF), the agro-pastoral irrigated system (AGPI), and the agro-sylvo-pastoral system (AGSP).",ABS,"AGPRF, AGPI","ORG, ORG","93, 137","98, 141",,,,
74,C:\Users\shiwa\pastoral_74\PMC10967291\sections\1_front\1_article-meta\20_abstract.xml,The PCA analysis results revealed three main sheep production systems.,ABS,PCA,ORG,4,7,,,,
75,C:\Users\shiwa\pastoral_74\PMC10967291\sections\1_front\1_article-meta\20_abstract.xml,"The agro-pastoral rain-fed system (AGPRF) is dominant (55%), with large farms and common pastures integrating cereals and fodder.",ABS,AGPRF,ORG,35,40,,,,
89,C:\Users\shiwa\pastoral_74\PMC11013201\sections\1_front\1_article-meta\21_abstract.xml,Changes in land-use practices have been a central element of human adaptation to Holocene climate change.,ABS,Holocene,ORG,81,89,,,,
97,C:\Users\shiwa\pastoral_74\PMC2864741\sections\0_front\1_article-meta\18_abstract.xml,"Background Several authors, most prominently Jared Diamond (1997,  Guns ,  Germs and Steel ), have investigated biogeographic determinants of human history and civilization.",ABS,Background Several,ORG,0,18,,,,
102,C:\Users\shiwa\pastoral_74\PMC2864741\sections\0_front\1_article-meta\18_abstract.xml,"Using ecological niche modelling (ENM), we derive spatial predictions of the suitability for these four landuse traits and apply these to the Old World and Australia.",ABS,ENM,ORG,34,37,,,,
108,C:\Users\shiwa\pastoral_74\PMC2864741\sections\0_front\1_article-meta\18_abstract.xml,"We also found that ENM of agricultural suitability correlates with a metric of local wealth generation (Gross Domestic Product, Purchasing Power Parity).",ABS,ENM,ORG,19,22,,,,
109,C:\Users\shiwa\pastoral_74\PMC2864741\sections\0_front\1_article-meta\18_abstract.xml,"Conclusions/Significance From simplified assumptions on the links between climate, soil and landuse we are able to provide good predictions on complex features of human geography.",ABS,Conclusions/Significance,ORG,0,24,,,,
110,C:\Users\shiwa\pastoral_74\PMC2864741\sections\0_front\1_article-meta\18_abstract.xml,The spatial distribution of deviations from ENM predictions identifies those regions requiring further investigation of potential explanations.,ABS,ENM,ORG,44,47,,,,
118,C:\Users\shiwa\pastoral_74\PMC3290568\sections\0_front\1_article-meta\20_abstract.xml,Comparative modeling studies suggest that positively selected codons reduce SERPINB11s ability to undergo the conformational changes typical of inhibitory SERPINs – suggesting that it is evolving towards a new non-inhibitory function in humans.,ABS,SERPINB11,ORG,76,85,,,,
